,None,ticker,date,open,high,low,close,volume
197,52,MSTR,2024-01-16,479.0,489.48,467.0,482.14,1640263.0
198,51,MSTR,2024-01-17,474.23,499.1,474.23,499.0,965950.0
199,50,MSTR,2024-01-18,500.0,522.0,477.85,486.6,1653913.0
200,49,MSTR,2024-01-19,484.5,487.2,465.0,481.0,1174835.0
201,48,MSTR,2024-01-22,468.0,483.9599,455.39,470.19,1128142.0
202,47,MSTR,2024-01-23,450.0,459.8171,438.74,450.19,1159588.0
203,46,MSTR,2024-01-24,460.0,462.0,445.05,450.99,800003.0
204,45,MSTR,2024-01-25,452.32,464.0,445.8892,457.78,656855.0
205,44,MSTR,2024-01-26,470.0,500.95,464.75,494.5,1448958.0
206,43,MSTR,2024-01-29,500.0,524.97,490.21,513.81,1357163.0
207,42,MSTR,2024-01-30,516.98,525.7999,507.64,519.51,729816.0
208,41,MSTR,2024-01-31,508.0,527.89,499.4275,501.21,922804.0
209,40,MSTR,2024-02-01,501.8,515.06,495.9601,503.48,620008.0
210,39,MSTR,2024-02-02,497.25,509.0,491.0001,500.1,604520.0
211,38,MSTR,2024-02-05,502.0,503.48,482.0,490.6,857838.0
212,37,MSTR,2024-02-06,493.3,509.1923,493.12,498.0,678353.0
213,36,MSTR,2024-02-07,499.47,508.63,467.49,508.01,1084670.0
214,35,MSTR,2024-02-08,530.0,588.46,525.05,587.81,2229563.0
215,34,MSTR,2024-02-09,627.4,648.9,614.115,646.32,2459016.0
216,33,MSTR,2024-02-12,651.99,725.27,650.17,717.52,2292475.0
217,32,MSTR,2024-02-13,675.0,701.2199,655.55,686.02,1366932.0
218,31,MSTR,2024-02-14,746.0,774.84,734.165,769.88,2028301.0
219,30,MSTR,2024-02-15,792.44,806.78,707.5139,718.0,2353471.0
220,29,MSTR,2024-02-16,735.0,740.0,689.38,699.56,1329628.0
221,28,MSTR,2024-02-20,710.79,721.98,670.27,704.98,956559.0
222,27,MSTR,2024-02-21,684.3,685.38,664.2565,672.8,677881.0
223,26,MSTR,2024-02-22,683.7,723.2499,679.99,713.15,1028609.0
224,25,MSTR,2024-02-23,699.01,704.285,678.06,687.44,736593.0
225,24,MSTR,2024-02-26,687.94,809.9499,687.94,796.48,2237417.0
226,23,MSTR,2024-02-27,866.1,890.0,841.76,871.8,2270757.0
227,22,MSTR,2024-02-28,952.0,1008.88,915.5,962.95,4759374.0
228,21,MSTR,2024-02-29,999.0,1040.0,960.4436,1022.84,3481855.0
229,20,MSTR,2024-03-01,996.0,1080.0,992.0,1079.39,2592506.0
230,19,MSTR,2024-03-04,1200.0,1359.91,1190.01,1334.01,5313251.0
231,18,MSTR,2024-03-05,1244.19,1337.79,1035.06,1051.01,5635349.0
232,17,MSTR,2024-03-06,1140.0,1285.55,1131.1,1246.21,3639553.0
233,16,MSTR,2024-03-07,1284.98,1321.04,1225.0,1300.02,2126851.0
234,15,MSTR,2024-03-08,1328.04,1451.73,1283.66,1425.59,3701312.0
235,14,MSTR,2024-03-11,1550.0,1657.06,1477.35,1484.23,3997234.0
