,None,ticker,date,open,high,low,close,volume
151,98,META,2023-11-07,317.06,321.0,315.12,318.82,14000492.0
152,97,META,2023-11-08,318.14,321.33,314.88,319.78,12867733.0
153,96,META,2023-11-09,319.418,324.1799,318.8,320.55,14949310.0
154,95,META,2023-11-10,319.94,329.1,319.46,328.77,18496071.0
155,94,META,2023-11-13,326.2,332.33,325.7,329.19,16050221.0
156,93,META,2023-11-14,334.54,338.1,333.33,336.31,17040366.0
157,92,META,2023-11-15,337.93,338.4,330.02,332.71,14448261.0
158,91,META,2023-11-16,329.37,334.58,326.38,334.19,18510522.0
159,90,META,2023-11-17,330.26,335.5,329.35,335.04,14454511.0
160,89,META,2023-11-20,334.89,341.87,334.19,339.97,16736052.0
161,88,META,2023-11-21,338.33,339.9015,335.9,336.98,11953985.0
162,87,META,2023-11-22,339.21,342.92,338.58,341.49,10715177.0
163,86,META,2023-11-24,340.13,341.8556,336.77,338.23,5462550.0
164,85,META,2023-11-27,336.18,339.9,334.2,334.7,15646335.0
165,84,META,2023-11-28,333.4,339.375,333.4,338.99,12390592.0
166,83,META,2023-11-29,339.69,339.9,330.78,332.2,15979637.0
167,82,META,2023-11-30,331.89,333.5,322.4037,327.15,22402528.0
168,81,META,2023-12-01,325.48,326.86,320.76,324.82,14690339.0
169,80,META,2023-12-04,317.29,320.86,313.66,320.02,18997667.0
170,79,META,2023-12-05,318.98,321.88,315.39,318.29,15889806.0
171,78,META,2023-12-06,321.93,322.25,317.04,317.45,11264491.0
172,77,META,2023-12-07,317.77,328.24,317.77,326.59,15706309.0
173,76,META,2023-12-08,323.09,333.17,323.0,332.75,13549558.0
174,75,META,2023-12-11,329.4,329.89,319.995,325.28,25463736.0
175,74,META,2023-12-12,324.6,334.47,324.56,334.22,17975705.0
176,73,META,2023-12-13,333.93,338.37,332.64,334.74,16203331.0
177,72,META,2023-12-14,333.85,334.7,328.6371,333.17,19340019.0
178,71,META,2023-12-15,331.99,338.66,331.22,334.92,29999101.0
179,70,META,2023-12-18,337.48,347.56,337.02,344.62,18358570.0
180,69,META,2023-12-19,345.58,353.6,345.12,350.36,17661395.0
181,68,META,2023-12-20,348.65,354.96,347.79,349.28,15990372.0
182,67,META,2023-12-21,352.98,356.405,349.21,354.09,15229998.0
183,66,META,2023-12-22,355.58,357.1999,351.22,353.39,11772779.0
184,65,META,2023-12-26,354.99,356.98,353.45,354.83,9849739.0
185,64,META,2023-12-27,356.07,359.0,355.31,357.83,12705142.0
186,63,META,2023-12-28,359.7,361.9,357.81,358.32,11738147.0
187,62,META,2023-12-29,358.99,360.0,351.82,353.96,14987092.0
188,61,META,2024-01-02,351.32,353.16,340.01,346.29,18048153.0
189,60,META,2024-01-03,344.98,347.95,343.175,344.47,14275185.0
190,59,META,2024-01-04,344.5,348.1499,343.3987,347.12,11662557.0
191,58,META,2024-01-05,346.99,353.5,346.2601,351.95,13668551.0
192,57,META,2024-01-08,354.7,358.98,352.05,358.66,13553873.0
193,56,META,2024-01-09,356.4,360.64,355.36,357.43,13343430.0
194,55,META,2024-01-10,360.17,372.94,359.08,370.47,22024099.0
195,54,META,2024-01-11,372.13,372.78,362.93,369.67,16894039.0
196,53,META,2024-01-12,370.155,377.06,369.54,374.49,19310046.0
197,52,META,2024-01-16,373.65,375.61,367.23,367.46,15256347.0
198,51,META,2024-01-17,366.3,368.54,358.61,368.37,12657904.0
199,50,META,2024-01-18,371.49,376.85,370.95,376.13,15934880.0
200,49,META,2024-01-19,379.0,384.36,377.97,383.45,19052354.0
201,48,META,2024-01-22,387.95,390.3525,381.1601,381.78,17489663.0
202,47,META,2024-01-23,384.615,388.38,382.075,385.2,15448049.0
203,46,META,2024-01-24,390.0,396.15,387.81,390.7,15555621.0
204,45,META,2024-01-25,390.17,395.49,385.66,393.18,14613212.0
205,44,META,2024-01-26,394.35,396.79,391.5908,394.14,13024654.0
206,43,META,2024-01-29,394.985,402.93,393.1,401.02,17789199.0
207,42,META,2024-01-30,403.59,406.36,399.57,400.06,18057258.0
208,41,META,2024-01-31,389.0,398.0,387.1,390.14,20013594.0
209,40,META,2024-02-01,393.94,400.5,393.05,394.78,25110266.0
210,39,META,2024-02-02,459.6,485.96,453.01,474.99,84391922.0
211,38,META,2024-02-05,469.88,471.9,459.22,459.41,40561233.0
212,37,META,2024-02-06,464.0,467.12,453.0,454.72,21538168.0
213,36,META,2024-02-07,458.0,471.52,456.1773,469.59,22911857.0
214,35,META,2024-02-08,468.32,470.59,465.03,470.0,18764756.0
215,34,META,2024-02-09,472.95,473.59,467.465,468.11,18170087.0
216,33,META,2024-02-12,468.19,479.145,466.58,468.9,19340374.0
217,32,META,2024-02-13,456.87,467.89,455.09,460.12,19117077.0
218,31,META,2024-02-14,467.93,474.11,466.0901,473.28,16582545.0
219,30,META,2024-02-15,475.28,488.62,472.22,484.03,22944421.0
220,29,META,2024-02-16,478.11,478.96,469.21,473.32,23324620.0
221,28,META,2024-02-20,469.715,476.18,466.56,471.75,17933421.0
222,27,META,2024-02-21,466.5,469.0,461.79,468.03,12190054.0
223,26,META,2024-02-22,480.24,489.99,476.0618,486.13,21257629.0
224,25,META,2024-02-23,488.05,494.3599,482.3482,484.03,17861129.0
225,24,META,2024-02-26,483.47,486.14,480.6,481.74,11727121.0
226,23,META,2024-02-27,479.975,487.27,479.92,487.05,10791955.0
227,22,META,2024-02-28,485.0,491.05,482.75,484.02,12180233.0
228,21,META,2024-02-29,488.44,491.7,482.61,490.13,17043898.0
229,20,META,2024-03-01,492.11,504.25,491.85,502.3,15728176.0
230,19,META,2024-03-04,503.0,504.42,496.42,498.19,12277260.0
231,18,META,2024-03-05,495.0,495.58,487.89,490.22,14429968.0
232,17,META,2024-03-06,497.63,502.97,494.292,496.09,11520573.0
233,16,META,2024-03-07,503.28,519.85,501.38,512.19,18124317.0
234,15,META,2024-03-08,514.19,523.57,499.35,505.95,18029444.0
235,14,META,2024-03-11,497.01,497.318,476.0,483.59,19982445.0
236,13,META,2024-03-12,493.26,502.31,484.73,499.75,15362157.0
237,12,META,2024-03-13,495.39,500.98,491.0318,495.57,11937907.0
238,11,META,2024-03-14,500.255,501.35,488.16,491.83,12571134.0
239,10,META,2024-03-15,489.01,491.83,481.3001,484.1,28583888.0
240,9,META,2024-03-18,491.91,497.42,486.81,496.98,11523234.0
241,8,META,2024-03-19,488.17,496.6296,481.28,496.24,10888627.0
242,7,META,2024-03-20,499.5,508.1999,495.17,505.52,11625280.0
243,6,META,2024-03-21,514.71,515.04,506.01,507.76,9677831.0
244,5,META,2024-03-22,507.0,509.97,504.34,509.58,8062190.0
245,4,META,2024-03-25,505.79,507.22,500.2411,503.02,8346423.0
246,3,META,2024-03-26,505.13,510.0,495.2137,495.89,11138702.0
247,2,META,2024-03-27,499.3,499.89,488.07,493.86,9921775.0
248,1,META,2024-03-28,492.84,492.89,485.15,485.58,14974522.0
249,0,META,2024-04-01,487.2,497.43,481.78,491.35,9013459.0
